director_actor,movie_count
Visute Poolvoralaks/Suteerush Channukool,1
Visute Poolvoralaks/Peeratchai Roompol,1
Visute Poolvoralaks/Nattapong Chartpong,1
Banjong Pisanthanakun/Ananda Everingham,1
Banjong Pisanthanakun/Natthaweeranuch Thongmee,1
Banjong Pisanthanakun/Achita Sikamana,1
Banjong Pisanthanakun/Unnop Chanpaibool,1
Banjong Pisanthanakun/Titikarn Tongprasearth,1
Banjong Pisanthanakun/Sivagorn Muttamara,1
Banjong Pisanthanakun/Chachchaya Chalemphol,1
Banjong Pisanthanakun/Kachormsak Naruepatr,1
Parkpoom Wongpoom/Ananda Everingham,1
Parkpoom Wongpoom/Natthaweeranuch Thongmee,1
Parkpoom Wongpoom/Achita Sikamana,1
Parkpoom Wongpoom/Unnop Chanpaibool,1
Parkpoom Wongpoom/Titikarn Tongprasearth,1
Parkpoom Wongpoom/Sivagorn Muttamara,1
Parkpoom Wongpoom/Chachchaya Chalemphol,1
Parkpoom Wongpoom/Kachormsak Naruepatr,1
Chayanop Boonprakob/Jirayu La-ongmanee,1
Chayanop Boonprakob/Pachara Chirathivat,1
Chayanop Boonprakob/Nattasha Nauljam,1
Chayanop Boonprakob/Thawat Pornrattanaprasert,1
Susan Johnson/Bel Powley,1
Susan Johnson/Nathan Lane,1
Susan Johnson/Vanessa Bayer,1
Susan Johnson/Gabriel Byrne,1
Susan Johnson/Jason Ritter,1
Susan Johnson/Colin O'Donoghue,1
Susan Johnson/William Moseley,1
Susan Johnson/Desmin Borges,1
Lynn Shelton/Marc Maron,1
Farhan Alam/Karam Hussain,1
Farhan Alam/Arif Bahlim,1
Farhan Alam/Najiba Faiz,1
Farhan Alam/Saleem Mairaj,1
Farhan Alam/Imran Aslam,1
Farhan Alam/Daniyal Yousuf,1
Farhan Alam/Sohail Malik,1
Farhan Alam/Ali Hafiz,1
Chad Archibald/Nina Kiri,1
Chad Archibald/Ry Barrett,1
Chad Archibald/Jorja Cadence,1
Chad Archibald/Will King,1
Chad Archibald/Nina Richmond,1
Brian Baugh/Caleb Castille,1
Brian Baugh/Rose Reid,1
Brian Baugh/Kevin Sizemore,1
Brian Baugh/Gregory Alan Williams,1
A. L. Vijay/G.V. Prakash Kumar,1
A. L. Vijay/Samyuktha Hegde,1
A. L. Vijay/Suman,1
A. L. Vijay/Raj Arjun,1
A. L. Vijay/Yogi Babu,1
A. L. Vijay/Munishkanth,1
Ryan Coogler/Chadwick Boseman,1
Ryan Coogler/Michael B. Jordan,1
Ryan Coogler/Lupita Nyong'o,1
Ryan Coogler/Danai Gurira,1
Ryan Coogler/Martin Freeman,1
Ryan Coogler/Daniel Kaluuya,1
Ryan Coogler/Letitia Wright,1
Ryan Coogler/Winston Duke,1
